Page Load Speed (ms),Time
731,2016-07-05 13:34:01
1101,2016-07-05 13:34:55
1104,2016-07-05 13:34:55
574,2016-07-05 13:36:08
621,2016-07-05 13:36:08
478,2016-07-05 13:36:43
997,2016-07-05 13:37:19
1166,2016-07-05 13:37:20
635,2016-07-05 13:37:38
610,2016-07-05 13:38:00
622,2016-07-05 13:38:29
624,2016-07-05 13:38:29
602,2016-07-05 13:38:30
416,2016-07-05 13:38:49
630,2016-07-05 13:39:09
1043,2016-07-05 13:39:34
3196,2016-07-05 13:40:07
3257,2016-07-05 13:40:07
668,2016-07-05 13:42:04
2549,2016-07-05 13:42:28
465,2016-07-05 13:42:51
551,2016-07-05 13:43:02
559,2016-07-05 13:43:02
429,2016-07-05 13:43:11
409,2016-07-05 13:43:41
416,2016-07-05 13:44:01
610,2016-07-05 13:44:18
480,2016-07-05 13:44:35
457,2016-07-05 13:44:52
591,2016-07-05 13:44:54
621,2016-07-05 13:44:54
433,2016-07-05 13:44:57
679,2016-07-05 13:45:10
972,2016-07-05 13:45:32
635,2016-07-05 13:45:56
914,2016-07-05 13:46:44
1142,2016-07-05 13:46:44
609,2016-07-05 13:46:56
416,2016-07-05 13:47:43
997,2016-07-05 13:48:06
996,2016-07-05 13:48:06
709,2016-07-05 13:49:08
369,2016-07-05 13:49:18
284,2016-07-05 13:49:40
413,2016-07-05 13:49:57
640,2016-07-05 13:50:14
558,2016-07-05 13:50:46
568,2016-07-05 13:51:41
570,2016-07-05 13:51:41
622,2016-07-05 13:51:44
2047,2016-07-05 13:52:06
927,2016-07-05 13:52:33
883,2016-07-05 13:52:34
1608,2016-07-05 13:52:53
633,2016-07-05 13:55:26
364,2016-07-05 13:56:02
606,2016-07-05 13:56:30
792,2016-07-05 13:56:42
338,2016-07-05 13:56:59
606,2016-07-05 13:57:18
377,2016-07-05 13:57:32
413,2016-07-05 13:57:37
526,2016-07-05 13:57:56
604,2016-07-05 13:58:13
580,2016-07-05 13:58:28
609,2016-07-05 13:58:30
566,2016-07-05 13:58:46
570,2016-07-05 13:58:46
449,2016-07-05 13:58:51
605,2016-07-05 13:58:55
603,2016-07-05 13:59:11
1001,2016-07-05 13:59:28
1320,2016-07-05 13:59:48
785,2016-07-05 13:59:49
4375,2016-07-05 14:00:21
604,2016-07-05 14:00:41
857,2016-07-05 14:01:00
918,2016-07-05 14:01:19
1557,2016-07-05 14:01:24
1590,2016-07-05 14:01:24
453,2016-07-05 14:01:27
321,2016-07-05 14:01:35
371,2016-07-05 14:01:37
2416,2016-07-05 14:02:09
1926,2016-07-05 14:02:37
445,2016-07-05 14:02:42
465,2016-07-05 14:02:42
463,2016-07-05 14:02:46
607,2016-07-05 14:02:57
410,2016-07-05 14:03:13
612,2016-07-05 14:03:20
799,2016-07-05 14:03:34
864,2016-07-05 14:03:52
476,2016-07-05 14:04:14
416,2016-07-05 14:04:30
558,2016-07-05 14:04:38
606,2016-07-05 14:04:46
777,2016-07-05 14:04:51
783,2016-07-05 14:05:37
540,2016-07-05 14:05:40
690,2016-07-05 14:05:53
740,2016-07-05 14:05:53
